Time: 2.2900
U[761] = 1.130560
U[762] = 1.131520
U[763] = 1.132480
U[764] = 1.133440
U[765] = 1.134400
U[766] = 1.135360
U[767] = 1.136320
U[768] = 1.137280
U[769] = 1.138240
U[770] = 1.139200
U[771] = 1.140160
U[772] = 1.141120
U[773] = 1.142080
U[774] = 1.143040
U[775] = 1.144000
U[776] = 1.144960
U[777] = 1.145920
U[778] = 1.146880
U[779] = 1.147840
U[780] = 1.148800
U[781] = 1.149760
U[782] = 1.150720
U[783] = 1.151680
U[784] = 1.152640
U[785] = 1.153600
U[786] = 1.154560
U[787] = 1.155520
U[788] = 1.156480
U[789] = 1.157440
U[790] = 1.158400
U[791] = 1.159360
U[792] = 1.160320
U[793] = 1.161280
U[794] = 1.162240
U[795] = 1.163200
U[796] = 1.164160
U[797] = 1.165120
U[798] = 1.166080
U[799] = 1.167040
U[800] = 1.168000
U[801] = 1.168960
U[802] = 1.169920
U[803] = 1.170880
U[804] = 1.171840
U[805] = 1.172800
U[806] = 1.173760
U[807] = 1.174720
U[808] = 1.175680
U[809] = 1.176640
U[810] = 1.177600
U[811] = 1.178560
U[812] = 1.179520
U[813] = 1.180480
U[814] = 1.181440
U[815] = 1.182400
U[816] = 1.183360
U[817] = 1.184320
U[818] = 1.185280
U[819] = 1.186240
U[820] = 1.187200
U[821] = 1.188160
U[822] = 1.189120
U[823] = 1.190080
U[824] = 1.191040
U[825] = 1.192000
U[826] = 1.192960
U[827] = 1.193920
U[828] = 1.194880
U[829] = 1.195840
U[830] = 1.196800
U[831] = 1.197760
U[832] = 1.198720
U[833] = 1.199680
U[834] = 1.200640
U[835] = 1.201600
U[836] = 1.202560
U[837] = 1.203520
U[838] = 1.204480
U[839] = 1.205440
U[840] = 1.206400
U[841] = 1.207360
U[842] = 1.208320
U[843] = 1.209280
U[844] = 1.210240
U[845] = 1.211200
U[846] = 1.212160
U[847] = 1.213120
U[848] = 1.214080
U[849] = 1.215040
U[850] = 1.216000
U[851] = 1.216960
U[852] = 1.217920
U[853] = 1.218880
U[854] = 1.219840
U[855] = 1.220800
U[856] = 1.221760
U[857] = 1.222720
U[858] = 1.223680
U[859] = 1.224640
U[860] = 1.225600
U[861] = 1.226560
U[862] = 1.227520
U[863] = 1.228480
U[864] = 1.229440
U[865] = 1.230400
U[866] = 1.231360
U[867] = 1.232320
U[868] = 1.233280
U[869] = 1.234240
U[870] = 1.235200
U[871] = 1.236160
U[872] = 1.237120
U[873] = 1.238080
U[874] = 1.239040
U[875] = 1.240000
U[876] = 1.240960
U[877] = 1.241920
U[878] = 1.242880
U[879] = 1.243840
U[880] = 1.244800
U[881] = 1.245760
U[882] = 1.246720
U[883] = 1.247680
U[884] = 1.248640
U[885] = 1.249600
U[886] = 1.250560
U[887] = 1.251520
U[888] = 1.252480
U[889] = 1.253440
U[890] = 1.254400
U[891] = 1.255360
U[892] = 1.256320
U[893] = 1.257280
U[894] = 1.258240
U[895] = 1.259200
U[896] = 1.260160
U[897] = 1.261120
U[898] = 1.262080
U[899] = 1.263040
U[900] = 1.264000
U[901] = 1.264960
U[902] = 1.265920
U[903] = 1.266880
U[904] = 1.267840
U[905] = 1.268800
U[906] = 1.269760
U[907] = 1.270720
U[908] = 1.271680
U[909] = 1.272640
U[910] = 1.273600
U[911] = 1.274560
U[912] = 1.275520
U[913] = 1.276480
U[914] = 1.277440
U[915] = 1.278400
U[916] = 1.279360
U[917] = 1.280320
U[918] = 1.281280
U[919] = 1.282240
U[920] = 1.283200
U[921] = 1.284160
U[922] = 1.285120
U[923] = 1.286080
U[924] = 1.287040
U[925] = 1.288000
U[926] = 1.288960
U[927] = 1.289920
U[928] = 1.290880
U[929] = 1.291840
U[930] = 1.292800
U[931] = 1.293760
U[932] = 1.294720
U[933] = 1.295680
U[934] = 1.296640
U[935] = 1.297600
U[936] = 1.298560
U[937] = 1.299520
U[938] = 1.300480
U[939] = 1.301440
U[940] = 1.302400
U[941] = 1.303360
U[942] = 1.304320
U[943] = 1.305280
U[944] = 1.306240
U[945] = 1.307200
U[946] = 1.308160
U[947] = 1.309120
U[948] = 1.310080
U[949] = 1.311040
U[950] = 1.312000
U[951] = 1.312960
U[952] = 1.313920
U[953] = 1.314880
U[954] = 1.315840
U[955] = 1.316800
U[956] = 1.317760
U[957] = 1.318720
U[958] = 1.319680
U[959] = 1.320640
U[960] = 1.321600
U[961] = 1.322560
U[962] = 1.323520
U[963] = 1.324480
U[964] = 1.325440
U[965] = 1.326400
U[966] = 1.327360
U[967] = 1.328320
U[968] = 1.329280
U[969] = 1.330240
U[970] = 1.331200
U[971] = 1.332160
U[972] = 1.333120
U[973] = 1.334080
U[974] = 1.335040
U[975] = 1.336000
U[976] = 1.336960
U[977] = 1.337920
U[978] = 1.338880
U[979] = 1.339840
U[980] = 1.340800
U[981] = 1.341760
U[982] = 1.342720
U[983] = 1.343680
U[984] = 1.344640
U[985] = 1.345600
U[986] = 1.346560
U[987] = 1.347520
U[988] = 1.348480
U[989] = 1.349440
U[990] = 1.350400
U[991] = 1.351360
U[992] = 1.352320
U[993] = 1.353280
U[994] = 1.354240
U[995] = 1.355200
U[996] = 1.356160
U[997] = 1.357120
U[998] = 1.358080
U[999] = 1.359040
U[1000] = 1.360000
